EVERYTHING,,,,Pre-1900,1920s,1930s,1940s,1950s,1970s,1980s,1990s,2000s,2010,2011,2012,2013,2014,2015,2016,QUICK NAVIGATION & LEGEND,,,,"TIMELINE
PLACEMENT
LINKS",REALITY DESIGNATION
,Avengers: Infinity War,,,,,,,,,1:05:03,,1:10:48,,"Q-ships returning to the Sanctuary II up to Gamora saying ""Vormir! The stone is on Vormir."" and Thanos saying ""Show me.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.22,The End,,,,0:15:18,,0:30:55,,A fire truck honking up to Fitz dying,,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,1:10:49,,1:17:01,,"Groot saying ""I am Groot."" and Rocket replying ""Tinkle in the cup, we're not looking. What's there to see?"" up to Thor saying ""Now I know it feels like all hope is lost, trust me I know. But together you and I, we can kill Thanos.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.22,The End,,,,0:31:03,,0:31:42,,Heart rate monitor up to Jemma realizing Fitz is gone,,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,1:17:02,,1:17:46,,"Nebula being put back together up to Nebula sending a message to Mantis, saying ""Mantis, listen very carefully. I need you to meet me on Titan.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.08,The Last Day,,,,0:00:55,,0:01:45,,"Flashback: Up to May yelling ""Sit down! Buckle up!"" and Robin saying ""There's something else I need --""",,,,,,,,,,,EARTH-TRN676
,,,,,,,,,,,,,,NOTE: Old Robin finishes her line of dialogue in the future.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.22,The End,,,,0:31:43,,0:33:04,,"An ""In Remembrance"" plaque being engraved up to May smashing a piece of the Time Di'Alla",,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,1:17:47,,2:03:50,,"Strange, Stark and Peter crash landing on Titan up to Strange saying to Stark ""We're in the endgame, now.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.22,The End,,,,0:33:06,,0:42:17,,Davis installing the plaque in the Zephyr up to the end of the episode,,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,2:03:51,,2:09:51,,M'Baku smashing an outrider up to Thanos removing the Mind Stone from Vision's head and tossing his body aside,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: The following sequence intercuts simultaneous events surrounding the Snap. Because of the intercutting some moments have been extended.,,,,,,,,,,,
,Ant-Man and the Wasp,,,,,,,,,1:48:55,,1:49:25,,"Mid-credits scene: Hank saying ""I used to be a respected scientist. Had my name on the sides of buildings."" up to Scott turning on the quantum tunnel and Hank moving over to another set of controls",,,,,,,,,,,
,Avengers: Endgame,,,,,,,,,0:00:07,,0:00:35,,"Up to Barton saying ""Ready? Three fingers.""",,,,,,,,,,,
,Ant-Man and the Wasp,,,,,,,,,1:49:26,,1:49:54,,Mid-credits scene: Scott rounding the back of the van and approaching Hope up to Scott going subatomic,,,,,,,,,,,
,Avengers: Endgame,,,,,,,,,0:00:36,,0:00:52,,"Laura Barton looking over at her sons playing catch and and saying ""Nice throw, kiddo."" up to Barton saying ""Two mustard, please! Thanks, mamma!"" and Laura responding ""Got it!""",,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,2:09:52,,2:12:40,,"Thanos looking at the Mind Stone and placing it in the gauntlet up to Steve asking Thor ""Where'd he go? Thor?"" and Thor looking back at him unresponsive",,,,,,,,,,,
,Ant-Man and the Wasp,,,,,,,,,1:49:56,,1:50:11,,"Mid-credits scene: Hank initiating a mic check up to Scott saying ""Alright, just want to make sure."" and looking down",,,,,,,,,,,
,Avengers: Endgame,,,,,,,,,0:00:52,,0:01:14,,"Laura asking ""Nate, mayo or mustard? up to Barton saying ""All right, we're comin', we're hungry.""",,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,2:12:41,,2:14:09,,"Steve asking ""Where'd he go?"" and Bucky disappearing up to Rhodey calling out for Sam and Okoye looking around in disbelief",,,,,,,,,,,
,Ant-Man and the Wasp,,,,,,,,,1:50:12,,1:50:55,,"Mid-credits scene: Scott opening the cannister up to Scott saying ""Okay, seriously, don't joke around. Bring me up. Let's go. Guys?""",,,,,,,,,,,
,Avengers: Endgame,,,,,,,,,0:01:15,,0:01:53,,"Barton turning around and saying ""Lila, let's go."" up to Barton running towards the picnic table and calling out ""Laura?""",,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,2:27:31,,2:28:57,,Post-credits scene: Fury and Hill discovering people disappearing and Fury sending a message to Carol Danvers,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Fury's dialogue begins at 2:27:26.,,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,2:14:10,,2:17:20,,"Avengers and Guardians gathering together on Titan, Mantis saying ""Something's happening."" up to the end of the movie",,,,,,,,,,,
,Ant-Man and the Wasp,,,,,,,,,1:57:26,,1:57:41,,Post-credits scene: A state of emergency alert being broadcast on the TV and a giant ant playing the drums,,,,,,,,,,,
,Runaways,,,,3.05,Enter the Dreamland,,,,0:28:36,,0:31:48,,"Dark Dimension: Gert waking up in the lab up to Dark Dimension Nico saying ""Don't you love me anymore? You said, you said you'd love me no matter what."" and Karolina saying ""This isn't you.""",,,,,,,,,,JUN,
,Agents of S.H.I.E.L.D.,,,,6.05,The Other Thing,,,,0:00:59,,0:01:38,,"Flashback: Up to Coulson saying ""Little bit."" and May closing her eyes and sighing",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: In this scene May is dreaming and is in the process of waking up.,,,,,,,,,,,
,Runaways,,,,3.05,Enter the Dreamland,,,,0:31:49,,0:35:07,,"Dark Dimension: Dark Dimension Nico saying ""Kiss me."" up to Gert entering Old Lace's habitat",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.05,The Other Thing,,,,0:18:47,,0:19:38,,"Flashback: Coulson tossing a pillow at May, saying ""Will you stop laughing?"" up to May rubbing Coulson's back",,,,,,,,,,,
,Runaways,,,,3.05,Enter the Dreamland,,,,0:35:08,,0:37:07,,"Dark Dimension: Gert entering Old Lace's habitat, saying ""Here.... Does it have a name?"" up to Gert and Chase hugging and Chase saying ""I got here as fast as I could.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.05,The Other Thing,,,,0:31:38,,0:31:57,,"Flashback: Coulson sitting on the beach and May saying ""Don't joke about that anymore."" up to Coulson saying ""Every dream is someone else's nightmare.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.05,The Other Thing,,,,0:36:59,,0:37:20,,Flashback: May looking over at Coulson sleeping up to May taking Coulson's wine glass and repositioning his hand,,,,,,,,,,,
,Captain Marvel,,,,,,,,,1:54:51,,1:55:51,,"Mid-credits scene: Carol's pager turning off up to Carol arriving and asking ""Where's Fury?",,,,,,,,,,,
,Avengers: Endgame,,,,,,,,,0:02:32,,0:19:54,,Tony and Nebula playing tabletop football up to Thor walking out of Thanos' hut,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE 1: ""Dear Mr. Fantasy"" by Traffic begins at 0:02:00.",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Title at 0:14:50,,,,,,,,,,,
,Runaways,,,,3.05,Enter the Dreamland,,,,0:37:08,,0:46:22,,"Dark Dimension: Chase, Victor, Stacey and Gert driving up to Molly asking, back on the Earthly Plane, ""So, does that mean that Alex has been trapped over there for the same amount of time?""",,,,,,,,,,AUG,
,The Punisher,,,,2.13,The Whirlwind,,,,0:53:00,,0:55:20,,"""THREE MONTHS LATER"", Castle sitting in his truck up to the end of the episode",,,,,,,,,,,
,Runaways,,,,3.05,Enter the Dreamland,,,,0:46:27,,0:46:44,,Dark Dimension: Alex sitting in a chair up to the end of the episode,,,,,,,,,,,
,Runaways,,,,3.06,Merry Meet Again,,,,0:01:09,,0:47:55,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:08:34,,,,,,,,,,,
,Runaways,,,,3.07,Left-Hand Path,,,,0:01:02,,0:42:23,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:08:40,,,,,,,,,,,
,Runaways,,,,3.08,Devil's Torture Chamber,,,,0:01:11,,0:41:52,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:06:23,,,,,,,,,,,
,Runaways,,,,3.09,The Broken Circle,,,,0:01:17,,0:32:05,,"NOTE: The final two episodes of Runaways depict alternate versions of the same event due to time travel in 3.10. This alternate reality has been given the unofficial designation Earth-TRN769 by the Marvel Database. The timeline diverges when Gert is killed, but to make differentiating between episodes easier 3.09 is labeled, in its entirety, as an alternate reality. The following is an example of how the two episodes could intercut. Because of the intercutting some moments have been extended.",,,,,,,,,,,EARTH-TRN769
,,,,,,,,,,,,,,Up to Morgan le Fay standing in the center of her coven with her arms raised looking at the map of California,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:40,,,,,,,,,,,
,Runaways,,,,3.10,Cheat the Gallows,,,,0:33:34,,0:34:22,,The 2021 Runaways arriving from time traveling up to 2028 Alex running off,,,,,,,,,,,
,Runaways,,,,3.09,The Broken Circle,,,,0:32:06,,0:32:54,,"Nico and Tina looking at the mirror, Nico asking ""How is this happening? I thought Morgan needed the Staff to merge the worlds."" up to Tina saying ""But Morgan will never stop coming for the Staff."" and Nico replying ""I'll be ready when she does.""",,,,,,,,,,,EARTH-TRN769
,Runaways,,,,3.10,Cheat the Gallows,,,,0:34:23,,0:34:46,,"Dale and Stacey seeing 2028 Alex, Stacey saying ""Hey, Alex, we're going to go check on your dad, if you want?"" up to Tina saying ""I can try a spell, but once I begin I will need to maintain it. You'll be on your own.""",,,,,,,,,,,
,Runaways,,,,3.09,The Broken Circle,,,,0:33:07,,0:34:15,,"Nico nodding her head, saying ""Do it."" and leaving up to Geoffrey saying ""How about whiskey? Got any of that in there? It's another one of Nana B's home remedies."" and Stacey saying ""Okay, okay, okay.""",,,,,,,,,,,EARTH-TRN769
,Runaways,,,,3.10,Cheat the Gallows,,,,0:34:50,,0:35:56,,"2021 Karolina and 2021 Nico looking out of the dining room up to 2021 Nico saying ""I gotta go."" and 2021 Karolina saying ""No. No, Nico, no!""",,,,,,,,,,,
,Runaways,,,,3.09,The Broken Circle,,,,0:34:16,,0:37:45,,Dale turning off his homemade centrifuge up to Chase being entranced by a Corvus phone,,,,,,,,,,,EARTH-TRN769
,Runaways,,,,3.10,Cheat the Gallows,,,,0:36:16,,0:38:15,,"2021 Nico following 2018 Nico into a room up to 2018 Nico asking herself ""Why did I go in here? Was I looking for something?""",,,,,,,,,,,
,Runaways,,,,3.09,The Broken Circle,,,,0:37:46,,0:38:39,,"Chase walking down the stairs holding the Corvus phone in front of him up to Morgan dismissing energy blasts and saying ""Cute, but no."" and Karolina, Molly and Alex looking up at her",,,,,,,,,,,EARTH-TRN769
,Runaways,,,,3.10,Cheat the Gallows,,,,0:38:51,,0:39:00,,"2018 Nico coming around a corner, Morgan saying ""Now, tell me, where is Nico?"" up to 2018 Nico landing behind the other 2018 Runaways",,,,,,,,,,,
,Runaways,,,,3.09,The Broken Circle,,,,0:38:49,,0:44:49,,"Nico standing up up to Alex saying ""Shit, Morgan's got reinforcements."" and Chase saying ""Stay here. I'll handle it.""",,,,,,,,,,,EARTH-TRN769
,Runaways,,,,3.10,Cheat the Gallows,,,,0:39:21,,0:39:32,,"2021 Molly looking through the railing and saying ""We're getting our asses kicked."" up to 2028 Chase looking behind him at 2018 Chase",,,,,,,,,,,
,Runaways,,,,3.09,The Broken Circle,,,,0:44:57,,0:45:00,,Bronwyn hitting Chase with a blast of magic and Chase landing on his back,,,,,,,,,,,EARTH-TRN769
,Runaways,,,,3.10,Cheat the Gallows,,,,0:39:35,,0:39:38,,"2028 Chase looking back and saying ""I'm gonna get the Fistigons. Cover me.""",,,,,,,,,,,
,Runaways,,,,3.09,The Broken Circle,,,,0:45:01,,0:45:35,,Bronwyn looking behind her up to Alex stabbing Bronwyn and Geoffrey looking at him,,,,,,,,,,,EARTH-TRN769
,Runaways,,,,3.10,Cheat the Gallows,,,,0:39:39,,0:40:03,,"2018 Chase beginning to sit up and 2028 Chase saying ""I know it's confusing, but it's also painful."" up to 2028 Alex making his way out of 2018 Alex's room",,,,,,,,,,,
,Runaways,,,,3.09,The Broken Circle,,,,0:45:36,,0:45:41,,Karolina and Nico warding off Morgan's power,,,,,,,,,,,EARTH-TRN769
,Runaways,,,,3.10,Cheat the Gallows,,,,0:40:04,,0:40:11,,Karolina and Nico continuing to ward off Morgan's power,,,,,,,,,,,
,Runaways,,,,3.09,The Broken Circle,,,,0:45:41,,0:45:55,,"Molly saying ""We have to do something!"" up to Gert saying ""The salt. You said a circle of it could contain Morgan's magic.""",,,,,,,,,,,EARTH-TRN769
,,,,,,,,,,,,,,NOTE: From this moment the two episodes play out differently. In 3.09 Gert dies prompting the time travel events of 3.10 which overwrite the conclusion of 3.09.,,,,,,,,,,,
,Runaways,,,,3.10,Cheat the Gallows,,,,0:40:23,,0:47:41,,"2018 Gert looking back and moving towards the salt, 2028 Chase asking ""Mind if I step in?"" up to the end of the episode",,,,,,,,,,,
,Runaways,,,,3.09,The Broken Circle,,,,0:45:55,,0:51:13,,NOTE: Continuing on from the previous 3.09 clip as if the time travel events of 3.10 never occurred.,,,,,,,,,,,EARTH-TRN769
,,,,,,,,,,,,,,Gert looking back and grabbing the salt up to the end of the episode,,,,,,,,,,,
,Loki,,,,S01E06,For All Time. Always.,,,,0:12:52,,0:13:39,,"B-15 being chased by a Minuteman team in a school in Fremont, Ohio",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: He Who Remains' dialogue comes in early at 0:13:39.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,,,,,,,,,Clips,,Movies,,Shows,,Episodes,,Approx. Runtime,,,,,,,
,,,,,,,,,,75,,0,,1,,14,,8:58:04,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.01,Missing Pieces,,,,0:03:27,,0:34:00,,"""ONE YEAR LATER"", the team descending onto an alien planet up to Jaco entering the museum with the rest of Sarge's Squad",,,,,,,,,,JUN,
,Agents of S.H.I.E.L.D.,,,,6.01,Missing Pieces,,,,0:35:35,,0:41:39,,"Sarge's Squad exiting the museum's  courtyard, S.H.I.E.L.D. arriving up to the end of the episode",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: S.H.I.E.L.D. logo at 0:40:46,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.02,Window of Opportunity,,,,0:00:55,,0:40:26,,"Up to Dr. Benson saying ""Wherever these people came from, I think they destroyed it."" and taking a drink",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:33,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.01,Missing Pieces,,,,0:34:01,,0:35:34,,"The Zephyr hiding from a Confederate Destroyer ship, Davis saying ""We're dead meat."" up to the Zephyr teleporting",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.02,Window of Opportunity,,,,0:40:33,,0:42:19,,Fitz and Enoch looking out at Naro-Atzia up to the end of the episode,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.03,Fear and Loathing on the Planet of Kitson,,,,0:00:53,,0:42:20,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:01:48 and S.H.I.E.L.D. logo at 0:41:13,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:38:27,,0:38:46,,NOTE: Sequoia's Instagram Stories are shown at the end of the episode.,,,,,,,,,,,
,,,,,,,,,,,,,,Sequoia's Instagram Stories: #1-3,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:01:01,,0:01:36,,"Up to Trevor ""dying""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:38:47,,0:39:00,,Sequoia's Instagram Stories: #4,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:01:37,,0:05:49,,"Deke firing on Trevor's ""killer"" up to Deke looking from the screen in the background into the camera",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:39:01,,0:39:12,,Sequoia's Instagram Stories: #5,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:05:56,,0:10:21,,Mack entering the command center up to Sequoia leaving to get boba,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:39:13,,0:39:26,,Sequoia's Instagram Stories: #6,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: This works if Sarge left the conference room briefly and stepped out to get his crew.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:10:22,,0:18:19,,Deke entering the conference room up to Yo-Yo looking into Harold Simcoe's chest cavity and seeing a Shrike,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:39:27,,0:39:30,,Sequoia's Instagram Stories: #7,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:18:22,,0:29:34,,"Deke crouching behind a desk, Sarge saying ""I've been hunting your kind my entire life."" up to Yo-Yo shouting ""Can you operate?"" and Benson saying ""Yes.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:39:31,,0:39:53,,Sequoia's Instagram Stories: #8,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:29:35,,0:35:08,,"Pax looking at a scan of the building up to May asking ""If you're not going to kill me, then what do you want?"" and Sarge replying ""You're about to find out.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:39:54,,0:40:01,,Sequoia's Instagram Stories: #9-10,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:35:09,,0:37:48,,"Deke and Mack rounding a corner up to Keller crystalizing, Yo-Yo killing him and sinking to her knees",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:40:02,,0:40:06,,Sequoia's Instagram Stories: #11-12,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:37:49,,0:38:21,,Snowflake driving Sarge's truck up to Sarge and May looking at each other,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.04,Code Yellow,,,,0:40:07,,0:40:22,,Sequoia's Instagram Stories: #13,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.05,The Other Thing,,,,0:01:39,,0:18:46,,NOTE: This episode contains flashbacks.,,,,,,,,,,,
,,,,,,,,,,,,,,"May laying on a beach and opening her eyes, May slowly waking from her dream up to Sarge putting a sack over May's head",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:04:17,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.05,The Other Thing,,,,0:19:42,,0:31:31,,"Sarge removing the sack from May's head up to Sarge saying ""I've been alive for a hundred of your years. And I'll be alive a hundred years after you're gone.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: This clip ends with Sarge's line blending with Coulson's line as it fades to a clip of Coulson and May on the beach. The scene resumes with May asking him what he said. This reaction from May has been left out.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.05,The Other Thing,,,,0:32:03,,0:36:57,,"Sarge saying ""The shrike are a cancer."" up to May handcuffing Sarge to the passenger door of the truck and looking over at him",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.05,The Other Thing,,,,0:37:21,,0:42:19,,May looking over at Sarge up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: S.H.I.E.L.D. logo at 0:40:00,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.06,Inescapable,,,,0:00:44,,0:42:18,,"NOTE: All previous memory re-enactment ""flashbacks"" from this episode are included because Jemma and Fitz are reliving them while in the Cerebral Fusion Machine.",,,,,,,,,,,
,,,,,,,,,,,,,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:08:49 and S.H.I.E.L.D. logo at 0:40:45,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.07,Toldja,,,,0:00:49,,0:41:48,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:43 and S.H.I.E.L.D. logo at 0:38:33,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.08,Collision Course Part One,,,,0:00:55,,0:41:46,,Full episode,,,,,,,,,,JUL,
,,,,,,,,,,,,,,NOTE: Title at 0:02:56 and S.H.I.E.L.D. logo at 0:39:57,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.09,Collision Course Part Two,,,,0:00:50,,0:41:30,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:07 and S.H.I.E.L.D. logo at 0:41:00,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.10,Leap,,,,0:01:07,,0:41:29,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:09 and S.H.I.E.L.D. logo at 0:40:30,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.11,From the Ashes,,,,0:00:56,,0:40:55,,Up to Flint looking up at Mack and Yo-Yo,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:53,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.12,The Sign,,,,0:01:47,,0:04:01,,"Flint saying ""Dios mío."" and Mack saying ""Flint. It's gonna be okay."" up to Izel possessing Flint and beginning to create the Di'Allas",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: 6.12 begins (0:01:24) from Flint's point of view as he is formed.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.11,From the Ashes,,,,0:41:01,,0:42:12,,"Exterior of the Confederate Destroyer ship, Atarah saying ""We have learned more than anticipated."" up to the end of the episode",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.12,The Sign,,,,0:04:07,,0:34:51,,"Sarge sharpening his blade up to Mack, Daisy and Yo-Yo barricading the door and Yo-Yo saying ""There's too many of 'em.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.12,The Sign,,,,0:39:49,,0:40:58,,Enoch being served a drink up to the end of the episode,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,6.12,The Sign,,,,0:34:52,,0:39:43,,"Deke dropping down into the Quinjet up to Sarge pushing May through the portal and saying ""How's that for a sign?""",,,,,,,,,,,
